,Fast Food Restaurant,Item,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g)
102,White Castle,Double Cheese Slider,Burger,113,300,17.0,8.0,1.0,940.0,20.0,3.0,15.0
103,White Castle,Double Bacon Cheese Slider,Burger,121,400,27.0,12.0,1.0,1220.0,21.0,2.0,21.0
104,White Castle,Chicken Ring Slider,Breaded Chicken Sandwich,92,380,30.0,7.0,0.0,460.0,16.0,2.0,10.0
105,White Castle,Savory Grilled Chicken Slider,Grilled Chicken Sandwich,88,180,7.0,1.5,0.0,570.0,13.0,2.0,15.0
106,White Castle,6 Chicken Rings,Chicken Nuggets,143,530,47.0,9.0,0.0,610.0,12.0,0.0,18.0
107,White Castle,Small French Fries,French Fries,148,330,21.0,4.0,0.0,50.0,32.0,2.0,3.0
108,White Castle,Chocolate Milk Shake (Chicago Region) 21oz,Milkshake,450,550,10.0,5.5,0.0,330.0,106.0,90.0,12.0
109,Whataburger,Whataburger Jr.®,Burger,168,310,11.0,4.0,0.0,750.0,37.0,6.0,14.0
110,Whataburger,Whataburger Jr.® with Bacon & Cheese,Burger,190,400,18.0,7.0,0.0,1140.0,37.0,6.0,21.0
111,Whataburger,Whataburger,Burger,316,590,,8.0,1.0,,62.0,12.0,29.0
112,Whataburger,?,Burger,331,940,61.0,21.0,2.0,1760.0,45.0,6.0,49.0
113,Whataburger,Double Meat Whataburger,Burger,400,830,44.0,14.0,2.0,1470.0,62.0,12.0,47.0
114,Whataburger,A.1.® Thick & Hearty Burger,Burger,361,990,54.0,19.0,2.0,2080.0,68.0,18.0,55.0
115,Whataburger,Chop House Cheddar Burger,Burger,373,1110,69.0,26.0,2.0,1660.0,61.0,12.0,60.0
116,Whataburger,Grilled Chicken Sandwich,Breaded Chicken Sandwich,278,430,13.0,3.0,0.0,1040.0,49.0,13.0,35.0
117,Whataburger,Whatachick'n® Sandwich,Grilled Chicken Sandwich,285,560,22.0,4.0,0.0,1050.0,69.0,14.0,29.0
118,Whataburger,Whatachick'n® Strips 2 Piece,Chicken Nuggets,183,370,20.0,4.0,0.0,1050.0,31.0,1.0,17.0
119,Whataburger,French Fries (Small),French Fries,85,280,14.0,2.0,0.0,170.0,35.0,0.0,3.0
120,Whataburger,Chocolate Shake 16 oz,Milkshake,343,430,9.0,6.0,0.0,400.0,79.0,77.0,8.0
121,In-N-Out Burger,Hamburger w/Onion,Burger,243,390,19.0,5.0,0.0,650.0,39.0,10.0,16.0
122,In-N-Out Burger,Cheeseburger w/Onion,Burger,268,480,27.0,10.0,0.5,1000.0,39.0,10.0,22.0
123,In-N-Out Burger,Double-Double w/Onion,Burger,330,670,41.0,18.0,1.0,1440.0,39.0,10.0,37.0
124,In-N-Out Burger,French Fries,French Fries,125,395,18.0,5.0,0.0,245.0,54.0,0.0,7.0
125,In-N-Out Burger,Chocolate Shake (15oz),Milkshake,321,590,29.0,19.0,1.0,320.0,72.0,65.0,10.0
